aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited
CJ1,Flatwing,0,0,37000,0.65,0,100,600,False,3440,ok,,773.6068419474699,137,1804,37001,429,37001,False,0.6485456854326661,True
CJ1,Flatwing,0,0,37000,0.65,164,100,600,False,3386,ok,,741.4785602369076,132,1747,37006,429,37006,False,0.6485456854326661,True
CJ1,Flatwing,0,0,37000,0.65,329,100,600,False,3221,ok,,656.5335419305367,119,1579,37006,429,37006,False,0.6485456854326661,True
CJ1,Flatwing,0,0,37000,0.65,493,100,600,False,3057,ok,,572.6252822678885,105,1412,37006,429,37006,False,0.6485456854326661,True
CJ1,Flatwing,0,0,37000,0.65,657,100,600,False,2893,ok,,488.713956482659,92,1245,37006,429,37006,False,0.6485456854326661,True
CJ1,Flatwing,0,0,37000,0.65,821,100,600,False,2729,ok,,405.83934560142234,78,1079,37006,429,37006,False,0.6485456854326661,True
CJ1,Flatwing,0,0,37000,0.65,986,100,600,False,2564,ok,,322.96166637576925,65,912,37006,429,37006,False,0.6485456854326661,True
CJ1,Flatwing,0,0,37000,0.65,1150,100,600,False,2400,ok,,248.54551256663663,53,753,37006,350,37006,False,0.5291165265767672,True
CJ1,Flatwing,0,0,37000,0.64,0,100,600,False,3440,ok,,777.5796895615962,139,1802,37001,423,37001,False,0.6394751164056358,False
CJ1,Flatwing,0,0,37000,0.64,164,100,600,False,3386,ok,,744.99511888981,134,1745,37006,423,37006,False,0.6394751164056358,False
CJ1,Flatwing,0,0,37000,0.64,329,100,600,False,3221,ok,,659.3143713145624,120,1577,37006,423,37006,False,0.6394751164056358,False
CJ1,Flatwing,0,0,37000,0.64,493,100,600,False,3057,ok,,575.6742436940917,106,1412,37006,423,37006,False,0.6394751164056358,False
CJ1,Flatwing,0,0,37000,0.64,657,100,600,False,2893,ok,,491.01121214716,93,1245,37006,423,37006,False,0.6394751164056358,False
CJ1,Flatwing,0,0,37000,0.64,821,100,600,False,2729,ok,,407.36871808895637,79,1078,37006,423,37006,False,0.6394751164056358,False
CJ1,Flatwing,0,0,37000,0.64,986,100,600,False,2564,ok,,323.7254240758499,65,911,37006,423,37006,False,0.6394751164056358,False
CJ1,Flatwing,0,0,37000,0.64,1150,100,600,False,2400,ok,,248.54551256663663,53,753,37006,350,37006,False,0.5291165265767672,True
CJ1,Tamarack,0,0,37000,0.65,0,100,600,False,3440,ok,,791.5051139143671,141,1802,37003,429,37003,False,0.6485456854326661,True
CJ1,Tamarack,0,0,37000,0.65,210,100,600,False,3261,ok,,696.1803357003184,125,1620,37007,429,37007,False,0.6485456854326661,True
CJ1,Tamarack,0,0,37000,0.65,420,100,600,False,3051,ok,,586.3896621609738,108,1407,37007,429,37007,False,0.6485456854326661,True
CJ1,Tamarack,0,0,37000,0.65,631,100,600,False,2840,ok,,475.56425165648346,90,1192,37007,429,37007,False,0.6485456854326661,True
CJ1,Tamarack,0,0,37000,0.65,841,100,600,False,2630,ok,,365.7715760166063,72,978,37007,429,37007,False,0.6485456854326661,True
CJ1,Tamarack,0,0,37000,0.65,1051,100,600,False,2420,ok,,257.01581737658455,55,765,37007,429,37007,False,0.6485456854326661,True
CJ1,Tamarack,0,0,37000,0.65,1261,100,600,False,2210,ok,,216.34996706288547,48,677,37007,337,37007,False,0.5094636270182016,True
CJ1,Tamarack,0,0,37000,0.65,1471,100,600,False,2000,ok,,216.34996706288547,48,677,37007,337,37007,False,0.5094636270182016,True
CJ1,Tamarack,0,0,37000,0.64,0,100,600,False,3440,ok,,798.1904938176302,143,1801,37003,423,37003,False,0.6394751164056358,False
CJ1,Tamarack,0,0,37000,0.64,210,100,600,False,3261,ok,,701.7903098726811,128,1619,37007,423,37007,False,0.6394751164056358,False
CJ1,Tamarack,0,0,37000,0.64,420,100,600,False,3051,ok,,589.6064462741969,109,1404,37007,423,37007,False,0.6394751164056358,False
CJ1,Tamarack,0,0,37000,0.64,631,100,600,False,2840,ok,,478.44320012361754,91,1191,37007,423,37007,False,0.6394751164056358,False
CJ1,Tamarack,0,0,37000,0.64,841,100,600,False,2630,ok,,367.2770786809899,73,977,37007,423,37007,False,0.6394751164056358,False
CJ1,Tamarack,0,0,37000,0.64,1051,100,600,False,2420,ok,,257.13172031827634,55,764,37007,423,37007,False,0.6394751164056358,False
CJ1,Tamarack,0,0,37000,0.64,1261,100,600,False,2210,ok,,216.34996706288547,48,677,37007,337,37007,False,0.5094636270182016,True
CJ1,Tamarack,0,0,37000,0.64,1471,100,600,False,2000,ok,,216.34996706288547,48,677,37007,337,37007,False,0.5094636270182016,True
