aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts
CJ1,Tamarack,0,0,39000,0.0,364,1337.0320984444768,221,2657,39001,386.5852218335031,195.97054149336424
CJ1,Tamarack,0,20,39000,0.0,364,1450.443339469236,244,2657,39005,380.76058539830115,184.7895886649213
CJ1,Tamarack,0,0,39000,0.0,728,1117.4170396300024,187,2293,39001,384.7322960716904,195.41332793511592
CJ1,Tamarack,0,20,39000,0.0,728,1210.0613632111317,206,2293,39005,378.31727219538635,184.12411487873862
CJ1,Tamarack,0,0,39000,0.0,1093,897.833602421364,153,1928,39001,382.72890152978573,194.8326793932767
CJ1,Tamarack,0,20,39000,0.0,1093,971.8170146073737,168,1928,39005,375.6594477330657,180.13415747490626
CJ1,Tamarack,0,0,39000,0.0,1457,679.969269532323,118,1564,39001,380.5710399850081,192.43351505585298
CJ1,Tamarack,0,20,39000,0.0,1457,734.8057462361438,130,1564,39005,372.7609457604925,179.26246253761832
CJ1,Tamarack,0,0,39000,0.0,1821,462.85708361154497,84,1200,39001,378.2436601139694,191.73853697713622
CJ1,Tamarack,0,20,39000,0.0,1821,500.2282830472421,92,1200,39005,369.59661737933055,178.3493147923359
CJ1,Tamarack,0,0,37000,0.0,0,1294.2348769870669,210,2740,37002,391.1618543127301,208.2077302625588
CJ1,Tamarack,0,20,37000,0.0,0,1405.647445391549,230,2740,37000,388.78670122099265,197.86747917026037
CJ1,Tamarack,0,0,37000,0.0,364,1237.8299907770233,203,2657,37001,389.82961677710665,207.6807999581826
CJ1,Tamarack,0,20,37000,0.0,364,1343.101940757368,222,2657,37000,387.1135915610407,197.34280250612764
CJ1,Tamarack,0,0,37000,0.0,728,1036.7851955486333,172,2293,37001,388.40026682763465,207.20678617408547
CJ1,Tamarack,0,20,37000,0.0,728,1125.316524728943,188,2293,37000,385.3145909401698,196.79543465422566
CJ1,Tamarack,0,0,37000,0.0,1093,837.5785503291524,141,1928,37001,386.8821271523864,206.7198259112216
CJ1,Tamarack,0,20,37000,0.0,1093,908.5831838944017,154,1928,37000,383.3809766115392,196.22811301003182
CJ1,Tamarack,0,0,37000,0.0,1457,638.1081215947942,110,1564,37001,385.2523646840717,206.21410566688883
CJ1,Tamarack,0,20,37000,0.0,1457,692.4515488092502,120,1564,37000,381.29051125370864,193.95036981847326
CJ1,Tamarack,0,0,37000,0.0,1821,440.5735574669703,79,1200,37001,383.5211817416966,205.6944767784603
CJ1,Tamarack,0,20,37000,0.0,1821,478.0714600425344,86,1200,37000,379.0499482923053,193.2763339891363
