aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm
CJ1,Flatwing,0,0,41000,0.68,0,1248.5489619312866
CJ1,Flatwing,0,0,41000,0.67,0,1248.5489619312866
CJ1,Flatwing,0,0,41000,0.66,0,1249.6984538760241
CJ1,Flatwing,0,0,41000,0.65,0,1255.6553541096412
CJ1,Flatwing,0,0,41000,0.64,0,1264.09115862975
CJ1,Flatwing,0,0,41000,0.63,0,1274.9323796222193
CJ1,Flatwing,0,0,41000,0.62,0,1284.6803069237137
CJ1,Flatwing,0,0,39000,0.68,0,1248.5489619312866
CJ1,Flatwing,0,0,39000,0.67,0,1248.5489619312866
CJ1,Flatwing,0,0,39000,0.66,0,1249.6984538760241
CJ1,Flatwing,0,0,39000,0.65,0,1255.6553541096412
CJ1,Flatwing,0,0,39000,0.64,0,1264.09115862975
CJ1,Flatwing,0,0,39000,0.63,0,1274.9323796222193
CJ1,Flatwing,0,0,39000,0.62,0,1284.6803069237137
CJ1,Flatwing,0,0,37000,0.68,0,1249.0714595383718
CJ1,Flatwing,0,0,37000,0.67,0,1249.0714595383718
CJ1,Flatwing,0,0,37000,0.66,0,1250.2171040114415
CJ1,Flatwing,0,0,37000,0.65,0,1255.6522572729448
CJ1,Flatwing,0,0,37000,0.64,0,1264.09115862975
CJ1,Flatwing,0,0,37000,0.63,0,1274.9323796222193
CJ1,Flatwing,0,0,37000,0.62,0,1284.6803069237137
CJ1,Flatwing,0,0,35000,0.68,0,1175.5323635177722
CJ1,Flatwing,0,0,35000,0.67,0,1175.5323635177722
CJ1,Flatwing,0,0,35000,0.66,0,1177.2865853178046
CJ1,Flatwing,0,0,35000,0.65,0,1185.5493595740875
CJ1,Flatwing,0,0,35000,0.64,0,1197.1064153365683
CJ1,Flatwing,0,0,35000,0.63,0,1207.4243344444685
CJ1,Flatwing,0,0,35000,0.62,0,1218.2728526507683
CJ1,Flatwing,0,0,33000,0.68,0,1100.36771512991
CJ1,Flatwing,0,0,33000,0.67,0,1100.36771512991
CJ1,Flatwing,0,0,33000,0.66,0,1102.0984680623549
CJ1,Flatwing,0,0,33000,0.65,0,1111.6298736999252
CJ1,Flatwing,0,0,33000,0.64,0,1123.4178496838056
CJ1,Flatwing,0,0,33000,0.63,0,1135.2169914819056
CJ1,Flatwing,0,0,33000,0.62,0,1146.071375495826
CJ1,Flatwing,0,20,41000,0.68,0,1287.7425268877064
CJ1,Flatwing,0,20,41000,0.67,0,1287.7425268877064
CJ1,Flatwing,0,20,41000,0.66,0,1288.3217748987045
CJ1,Flatwing,0,20,41000,0.65,0,1292.39810350161
CJ1,Flatwing,0,20,41000,0.64,0,1301.0598614407243
CJ1,Flatwing,0,20,41000,0.63,0,1310.6368121167736
CJ1,Flatwing,0,20,41000,0.62,0,1319.8929416252463
CJ1,Flatwing,0,20,39000,0.68,0,1287.7425268877064
CJ1,Flatwing,0,20,39000,0.67,0,1287.7425268877064
CJ1,Flatwing,0,20,39000,0.66,0,1288.3217748987045
CJ1,Flatwing,0,20,39000,0.65,0,1292.39810350161
CJ1,Flatwing,0,20,39000,0.64,0,1301.0598614407243
CJ1,Flatwing,0,20,39000,0.63,0,1310.6368121167736
CJ1,Flatwing,0,20,39000,0.62,0,1319.8929416252463
CJ1,Flatwing,0,20,37000,0.68,0,1287.7425268877064
CJ1,Flatwing,0,20,37000,0.67,0,1287.7425268877064
CJ1,Flatwing,0,20,37000,0.66,0,1288.3217748987045
CJ1,Flatwing,0,20,37000,0.65,0,1292.39810350161
CJ1,Flatwing,0,20,37000,0.64,0,1301.0598614407243
CJ1,Flatwing,0,20,37000,0.63,0,1310.6368121167736
CJ1,Flatwing,0,20,37000,0.62,0,1319.8929416252463
CJ1,Flatwing,0,20,35000,0.68,0,1287.2057546718195
CJ1,Flatwing,0,20,35000,0.67,0,1287.2057546718195
CJ1,Flatwing,0,20,35000,0.66,0,1287.7877461676026
CJ1,Flatwing,0,20,35000,0.65,0,1292.3936708633373
CJ1,Flatwing,0,20,35000,0.64,0,1301.0594375603882
CJ1,Flatwing,0,20,35000,0.63,0,1310.6368121167736
CJ1,Flatwing,0,20,35000,0.62,0,1319.8929416252463
CJ1,Flatwing,0,20,33000,0.68,0,1196.3412910106663
CJ1,Flatwing,0,20,33000,0.67,0,1196.3412910106663
CJ1,Flatwing,0,20,33000,0.66,0,1199.2340725856616
CJ1,Flatwing,0,20,33000,0.65,0,1207.1362333672064
CJ1,Flatwing,0,20,33000,0.64,0,1217.9917317781226
CJ1,Flatwing,0,20,33000,0.63,0,1228.4883893398226
CJ1,Flatwing,0,20,33000,0.62,0,1239.4919245010778
CJ1,Tamarack,0,0,41000,0.68,0,1529.5986584962268
CJ1,Tamarack,0,0,41000,0.67,0,1529.5986584962268
CJ1,Tamarack,0,0,41000,0.66,0,1530.6841962271492
CJ1,Tamarack,0,0,41000,0.65,0,1535.9580978524873
CJ1,Tamarack,0,0,41000,0.64,0,1546.5215161681526
CJ1,Tamarack,0,0,41000,0.63,0,1557.207970350066
CJ1,Tamarack,0,0,41000,0.62,0,1569.2373449800937
CJ1,Tamarack,0,0,39000,0.68,0,1401.33479763533
CJ1,Tamarack,0,0,39000,0.67,0,1404.0319433309037
CJ1,Tamarack,0,0,39000,0.66,0,1414.2528987308006
CJ1,Tamarack,0,0,39000,0.65,0,1427.583191899371
CJ1,Tamarack,0,0,39000,0.64,0,1440.8486921071847
CJ1,Tamarack,0,0,39000,0.63,0,1454.4630931968838
CJ1,Tamarack,0,0,39000,0.62,0,1467.913022833599
CJ1,Tamarack,0,0,37000,0.68,0,1293.9718908042419
CJ1,Tamarack,0,0,37000,0.67,0,1301.711576025705
CJ1,Tamarack,0,0,37000,0.66,0,1316.2982063249874
CJ1,Tamarack,0,0,37000,0.65,0,1331.1946572374175
CJ1,Tamarack,0,0,37000,0.64,0,1344.9664911638258
CJ1,Tamarack,0,0,37000,0.63,0,1359.1665005632
CJ1,Tamarack,0,0,37000,0.62,0,1373.2491688333002
CJ1,Tamarack,0,0,35000,0.68,0,1211.1116503708845
CJ1,Tamarack,0,0,35000,0.67,0,1220.3502916854204
CJ1,Tamarack,0,0,35000,0.66,0,1235.7592231338444
CJ1,Tamarack,0,0,35000,0.65,0,1250.5092643174098
CJ1,Tamarack,0,0,35000,0.64,0,1264.7091083105847
CJ1,Tamarack,0,0,35000,0.63,0,1279.3685036706254
CJ1,Tamarack,0,0,35000,0.62,0,1292.9486677100017
CJ1,Tamarack,0,0,33000,0.68,0,1127.0217613571274
CJ1,Tamarack,0,0,33000,0.67,0,1136.3047688217177
CJ1,Tamarack,0,0,33000,0.66,0,1150.800561168745
CJ1,Tamarack,0,0,33000,0.65,0,1165.2552897276314
CJ1,Tamarack,0,0,33000,0.64,0,1179.7285925526671
CJ1,Tamarack,0,0,33000,0.63,0,1194.1988205690734
CJ1,Tamarack,0,0,33000,0.62,0,1208.1324123840939
CJ1,Tamarack,0,20,41000,0.68,0,1521.5676432463872
CJ1,Tamarack,0,20,41000,0.67,0,1521.5676432463872
CJ1,Tamarack,0,20,41000,0.66,0,1524.0346551012228
CJ1,Tamarack,0,20,41000,0.65,0,1531.7592010171386
CJ1,Tamarack,0,20,41000,0.64,0,1543.3612384252863
CJ1,Tamarack,0,20,41000,0.63,0,1555.6151607702968
CJ1,Tamarack,0,20,41000,0.62,0,1568.0397603235865
CJ1,Tamarack,0,20,39000,0.68,0,1521.5612080936107
CJ1,Tamarack,0,20,39000,0.67,0,1521.5612080936107
CJ1,Tamarack,0,20,39000,0.66,0,1524.0282162678523
CJ1,Tamarack,0,20,39000,0.65,0,1532.2740103447577
CJ1,Tamarack,0,20,39000,0.64,0,1543.3612384252863
CJ1,Tamarack,0,20,39000,0.63,0,1555.6151607702968
CJ1,Tamarack,0,20,39000,0.62,0,1568.0397603235865
CJ1,Tamarack,0,20,37000,0.68,0,1405.647445391549
CJ1,Tamarack,0,20,37000,0.67,0,1408.7049203616195
CJ1,Tamarack,0,20,37000,0.66,0,1419.55745352126
CJ1,Tamarack,0,20,37000,0.65,0,1434.1270188391616
CJ1,Tamarack,0,20,37000,0.64,0,1447.261115999073
CJ1,Tamarack,0,20,37000,0.63,0,1461.2572900891407
CJ1,Tamarack,0,20,37000,0.62,0,1474.0899619139957
CJ1,Tamarack,0,20,35000,0.68,0,1337.0507695872875
CJ1,Tamarack,0,20,35000,0.67,0,1343.7136894738417
CJ1,Tamarack,0,20,35000,0.66,0,1358.5058395201581
CJ1,Tamarack,0,20,35000,0.65,0,1372.292583293545
CJ1,Tamarack,0,20,35000,0.64,0,1387.4935383741574
CJ1,Tamarack,0,20,35000,0.63,0,1401.0418027940534
CJ1,Tamarack,0,20,35000,0.62,0,1414.960958574967
CJ1,Tamarack,0,20,33000,0.68,0,1233.7617671047026
CJ1,Tamarack,0,20,33000,0.67,0,1243.555021785432
CJ1,Tamarack,0,20,33000,0.66,0,1258.6367304548496
CJ1,Tamarack,0,20,33000,0.65,0,1273.5493175733218
CJ1,Tamarack,0,20,33000,0.64,0,1287.8923109148295
CJ1,Tamarack,0,20,33000,0.63,0,1302.6771211802873
CJ1,Tamarack,0,20,33000,0.62,0,1316.8594815334936
