aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,0,20000,0.0,160.0,600,100,250,False,2200,7300,ok,,1169.0,396,1850,19998,184.14401321566362,133.0,19998,False,0.2997804168312416,False,350
C208B,Flatwing,0,0,20000,0.0,150.0,600,100,250,False,2200,7300,ok,,1169.0,396,1850,19998,184.14401321566362,133.0,19998,False,0.2997804168312416,False,350
C208B,Flatwing,0,0,20000,0.0,170.0,900,100,250,False,2200,7600,ok,,1161.0,396,1850,19992,183.37531284944706,133.0,19992,False,0.2985289978348888,False,350
C208B,Flatwing,0,0,20000,0.0,160.0,900,100,250,False,2200,7600,ok,,1161.0,396,1850,19992,183.37531284944706,133.0,19992,False,0.2985289978348888,False,350
C208B,Flatwing,0,0,20000,0.0,150.0,900,100,250,False,2200,7600,ok,,1161.0,396,1850,19992,183.37531284944706,133.0,19992,False,0.2985289978348888,False,350
C208B,Flatwing,0,0,20000,0.0,170.0,1200,100,250,False,2200,7900,ok,,1151.0,395,1850,19900,182.53305133637014,132.0,19900,False,0.29704909970247173,False,350
C208B,Flatwing,0,0,20000,0.0,160.0,1200,100,250,False,2200,7900,ok,,1151.0,395,1850,19900,182.53305133637014,132.0,19900,False,0.29704909970247173,False,350
C208B,Flatwing,0,0,20000,0.0,150.0,1200,100,250,False,2200,7900,ok,,1151.0,395,1850,19900,182.53305133637014,132.0,19900,False,0.29704909970247173,False,350
C208B,Flatwing,0,0,20000,0.0,170.0,1500,100,250,False,2200,8200,ok,,1143.0,394,1850,19903,181.65980314068184,132.0,19903,False,0.29563021836644354,False,350
C208B,Flatwing,0,0,20000,0.0,160.0,1500,100,250,False,2200,8200,ok,,1143.0,394,1850,19903,181.65980314068184,132.0,19903,False,0.29563021836644354,False,350
C208B,Flatwing,0,0,20000,0.0,150.0,1500,100,250,False,2200,8200,ok,,1143.0,394,1850,19903,181.65980314068184,132.0,19903,False,0.29563021836644354,False,350
C208B,Flatwing,0,0,20000,0.0,170.0,1800,100,250,False,2200,8500,ok,,1096.0,380,1850,17904,180.4690409057789,135.0,17904,True,0.2913827038393482,False,350
C208B,Flatwing,0,0,20000,0.0,160.0,1800,100,250,False,2200,8500,ok,,1096.0,380,1850,17904,180.4690409057789,135.0,17904,True,0.2913827038393482,False,350
C208B,Flatwing,0,0,20000,0.0,150.0,1800,100,250,False,2200,8500,ok,,1096.0,380,1850,17904,180.4690409057789,135.0,17904,True,0.2913827038393482,False,350
C208B,Flatwing,0,0,20000,0.0,170.0,2100,100,250,False,2150,8750,ok,,1058.0,370,1800,17903,179.59842336064807,134.0,17903,True,0.28997525707220384,False,350
C208B,Flatwing,0,0,20000,0.0,160.0,2100,100,250,False,2150,8750,ok,,1058.0,370,1800,17903,179.59842336064807,134.0,17903,True,0.28997525707220384,False,350
C208B,Flatwing,0,0,20000,0.0,150.0,2100,100,250,False,2150,8750,ok,,1058.0,370,1800,17903,179.59842336064807,134.0,17903,True,0.28997525707220384,False,350
C208B,Flatwing,0,0,20000,0.0,170.0,2400,100,250,False,1850,8750,ok,,872.0,308,1500,17903,178.67211827485423,134.0,17903,True,0.2884796673540192,False,350
C208B,Flatwing,0,0,20000,0.0,160.0,2400,100,250,False,1850,8750,ok,,872.0,308,1500,17903,178.67211827485423,134.0,17903,True,0.2884796673540192,False,350
C208B,Flatwing,0,0,20000,0.0,150.0,2400,100,250,False,1850,8750,ok,,872.0,308,1500,17903,178.67211827485423,134.0,17903,True,0.2884796673540192,False,350
C208B,Tamarack,0,-10,20000,0.0,170.0,0,100,250,False,2200,6750,ok,,1152.0,387,1850,20000,184.26920842301018,137.0,20000,False,0.29857281818158293,False,350
C208B,Tamarack,0,-10,20000,0.0,160.0,0,100,250,False,2200,6750,ok,,1152.0,387,1850,20000,184.26920842301018,137.0,20000,False,0.29857281818158293,False,350
C208B,Tamarack,0,-10,20000,0.0,150.0,0,100,250,False,2200,6750,ok,,1152.0,387,1850,20000,184.26920842301018,137.0,20000,False,0.29857281818158293,False,350
C208B,Tamarack,0,-10,20000,0.0,170.0,300,100,250,False,2200,7050,ok,,1147.0,387,1850,19993,183.81727333091456,137.0,19993,False,0.2978405442697507,False,350
C208B,Tamarack,0,-10,20000,0.0,160.0,300,100,250,False,2200,7050,ok,,1147.0,387,1850,19993,183.81727333091456,137.0,19993,False,0.2978405442697507,False,350
C208B,Tamarack,0,-10,20000,0.0,150.0,300,100,250,False,2200,7050,ok,,1147.0,387,1850,19993,183.81727333091456,137.0,19993,False,0.2978405442697507,False,350
C208B,Tamarack,0,-10,20000,0.0,170.0,600,100,250,False,2200,7350,ok,,1142.0,387,1850,19995,183.33423370539032,136.0,19995,False,0.29705787144274715,False,350
C208B,Tamarack,0,-10,20000,0.0,160.0,600,100,250,False,2200,7350,ok,,1142.0,387,1850,19995,183.33423370539032,136.0,19995,False,0.29705787144274715,False,350
