aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
C208B,Flatwing,0,0,15000,0.3,0,501.0
C208B,Flatwing,0,0,13000,0.3,0,501.0
C208B,Flatwing,0,0,11000,0.3,0,501.0
C208B,Flatwing,0,0,9000,0.3,0,501.0
C208B,Flatwing,0,0,7000,0.3,0,501.0
C208B,Flatwing,0,0,5000,0.3,0,501.0
C208B,Tamarack,0,0,15000,0.3,0,522.0
C208B,Tamarack,0,0,13000,0.3,0,522.0
C208B,Tamarack,0,0,11000,0.3,0,522.0
C208B,Tamarack,0,0,9000,0.3,0,522.0
C208B,Tamarack,0,0,7000,0.3,0,522.0
C208B,Tamarack,0,0,5000,0.3,0,522.0
