aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,cruise_mode,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,-10,41000,0.62,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,803.0,144,1900,39003,355.587531948856,184.0,39003,True,0.62,False,700
CJ1,Flatwing,0,-10,41000,0.62,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,634.0,116,1600,39003,355.587531948856,184.0,39003,True,0.62,False,700
CJ1,Flatwing,0,0,41000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1250.0,209,2740,37001,378.5286630423306,201.0,37001,True,0.66,False,700
CJ1,Flatwing,0,0,41000,0.66,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1234.0,208,2740,37000,378.5286630423306,200.0,37000,True,0.66,False,700
CJ1,Flatwing,0,0,41000,0.66,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1103.0,187,2500,37005,377.78023914487824,199.0,37005,True,0.6586950531873901,True,700
CJ1,Flatwing,0,0,41000,0.66,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,943.0,162,2200,37005,375.84180284196884,199.0,37005,True,0.6553152088457818,True,700
CJ1,Flatwing,0,0,41000,0.66,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,784.0,136,1900,37005,373.7712965561792,198.0,37005,True,0.6517050881811062,True,700
CJ1,Flatwing,0,0,41000,0.66,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,625.0,111,1600,37005,371.5571606854021,197.0,37005,True,0.6478445359498225,True,700
CJ1,Flatwing,0,0,41000,0.65,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1256.0,211,2740,37001,372.793380268962,200.0,37001,True,0.65,False,700
CJ1,Flatwing,0,0,41000,0.65,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1239.0,209,2740,37000,372.793380268962,200.0,37000,True,0.65,False,700
CJ1,Flatwing,0,0,41000,0.65,600,100,600,False,MCT (Max Thrust),3200,10600,ok,,1106.0,188,2500,37005,372.793380268962,199.0,37005,True,0.65,False,700
CJ1,Flatwing,0,0,41000,0.65,900,100,600,False,MCT (Max Thrust),2900,10600,ok,,944.0,162,2200,37005,372.793380268962,199.0,37005,True,0.65,False,700
CJ1,Flatwing,0,0,41000,0.65,1200,100,600,False,MCT (Max Thrust),2600,10600,ok,,784.0,136,1900,37005,372.793380268962,198.0,37005,True,0.65,False,700
CJ1,Flatwing,0,0,41000,0.65,1500,100,600,False,MCT (Max Thrust),2300,10600,ok,,625.0,111,1600,37005,371.5571606854021,197.0,37005,True,0.6478445359498225,True,700
CJ1,Flatwing,0,0,41000,0.64,0,100,600,False,MCT (Max Thrust),3440,10240,ok,,1264.0,215,2740,37001,367.0580974955933,196.0,37001,True,0.64,False,700
CJ1,Flatwing,0,0,41000,0.64,300,100,600,False,MCT (Max Thrust),3440,10540,ok,,1246.0,212,2740,37000,367.0580974955933,196.0,37000,True,0.64,False,700
