aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
CJ1,Flatwing,0,0,41000,0.0,0,234
CJ1,Flatwing,0,0,40000,0.0,0,231
CJ1,Flatwing,0,0,39000,0.0,0,224
CJ1,Flatwing,0,0,38000,0.0,0,217
CJ1,Flatwing,0,0,37000,0.0,0,208
CJ1,Flatwing,0,0,36000,0.0,0,201
CJ1,Flatwing,0,0,35000,0.0,0,193
CJ1,Flatwing,0,0,34000,0.0,0,185
CJ1,Flatwing,0,0,33000,0.0,0,178
CJ1,Tamarack,0,0,41000,0.0,0,256
CJ1,Tamarack,0,0,40000,0.0,0,242
CJ1,Tamarack,0,0,39000,0.0,0,229
CJ1,Tamarack,0,0,38000,0.0,0,218
CJ1,Tamarack,0,0,37000,0.0,0,208
CJ1,Tamarack,0,0,36000,0.0,0,201
CJ1,Tamarack,0,0,35000,0.0,0,193
CJ1,Tamarack,0,0,34000,0.0,0,185
CJ1,Tamarack,0,0,33000,0.0,0,177
