aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts
CJ,Flatwing,0,0,41000,0.65,0,,,,,
CJ,Flatwing,0,0,41000,0.65,238,,,,,
CJ,Flatwing,0,0,41000,0.65,475,,,,,
CJ,Flatwing,0,0,41000,0.65,712,,,,,
CJ,Flatwing,0,0,41000,0.65,950,,,,,
CJ,Flatwing,0,0,41000,0.65,1188,,,,,
CJ,Flatwing,0,0,41000,0.65,1425,,,,,
CJ,Flatwing,0,0,41000,0.65,1662,,,,,
CJ,Flatwing,0,0,41000,0.65,1900,,,,,
CJ,Flatwing,0,0,41000,0.64,0,,,,,
CJ,Flatwing,0,0,41000,0.64,238,,,,,
CJ,Flatwing,0,0,41000,0.64,475,,,,,
CJ,Flatwing,0,0,41000,0.64,712,,,,,
CJ,Flatwing,0,0,41000,0.64,950,,,,,
CJ,Flatwing,0,0,41000,0.64,1188,,,,,
CJ,Flatwing,0,0,41000,0.64,1425,,,,,
CJ,Flatwing,0,0,41000,0.64,1662,,,,,
CJ,Flatwing,0,0,41000,0.64,1900,,,,,
CJ,Tamarack,0,0,41000,0.65,0,,,,,
CJ,Tamarack,0,0,41000,0.65,278,,,,,
CJ,Tamarack,0,0,41000,0.65,555,,,,,
CJ,Tamarack,0,0,41000,0.65,833,,,,,
CJ,Tamarack,0,0,41000,0.65,1111,,,,,
CJ,Tamarack,0,0,41000,0.65,1388,,,,,
CJ,Tamarack,0,0,41000,0.65,1666,,,,,
CJ,Tamarack,0,0,41000,0.65,1944,,,,,
CJ,Tamarack,0,0,41000,0.65,2221,,,,,
CJ,Tamarack,0,0,41000,0.64,0,,,,,
CJ,Tamarack,0,0,41000,0.64,278,,,,,
CJ,Tamarack,0,0,41000,0.64,555,,,,,
CJ,Tamarack,0,0,41000,0.64,833,,,,,
CJ,Tamarack,0,0,41000,0.64,1111,,,,,
CJ,Tamarack,0,0,41000,0.64,1388,,,,,
CJ,Tamarack,0,0,41000,0.64,1666,,,,,
CJ,Tamarack,0,0,41000,0.64,1944,,,,,
CJ,Tamarack,0,0,41000,0.64,2221,,,,,
