aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
CJ1,Flatwing,0,0,41000,0.0,0,234
CJ1,Flatwing,0,0,39000,0.0,0,224
CJ1,Flatwing,0,0,37000,0.0,0,208
CJ1,Flatwing,0,0,35000,0.0,0,193
CJ1,Flatwing,0,0,33000,0.0,0,178
CJ1,Flatwing,0,0,31000,0.0,0,165
CJ1,Flatwing,0,20,41000,0.0,0,237
CJ1,Flatwing,0,20,39000,0.0,0,237
CJ1,Flatwing,0,20,37000,0.0,0,227
CJ1,Flatwing,0,20,35000,0.0,0,213
CJ1,Flatwing,0,20,33000,0.0,0,196
CJ1,Flatwing,0,20,31000,0.0,0,181
CJ1,Tamarack,0,0,41000,0.0,0,256
CJ1,Tamarack,0,0,39000,0.0,0,229
CJ1,Tamarack,0,0,37000,0.0,0,208
CJ1,Tamarack,0,0,35000,0.0,0,193
CJ1,Tamarack,0,0,33000,0.0,0,177
CJ1,Tamarack,0,0,31000,0.0,0,164
CJ1,Tamarack,0,20,41000,0.0,0,270
CJ1,Tamarack,0,20,39000,0.0,0,253
CJ1,Tamarack,0,20,37000,0.0,0,229
CJ1,Tamarack,0,20,35000,0.0,0,214
CJ1,Tamarack,0,20,33000,0.0,0,196
CJ1,Tamarack,0,20,31000,0.0,0,180
