aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
CJ1,Tamarack,0,0,41000,0.62,0,274
CJ1,Tamarack,0,0,39000,0.66,0,234
CJ1,Tamarack,0,0,39000,0.65,0,239
CJ1,Tamarack,0,0,39000,0.64,0,245
CJ1,Tamarack,0,0,39000,0.63,0,250
CJ1,Tamarack,0,0,39000,0.62,0,256
CJ1,Tamarack,0,0,37000,0.66,0,218
CJ1,Tamarack,0,0,37000,0.65,0,223
CJ1,Tamarack,0,0,37000,0.64,0,228
CJ1,Tamarack,0,0,37000,0.63,0,234
CJ1,Tamarack,0,0,37000,0.62,0,239
CJ1,Tamarack,0,0,35000,0.66,0,204
CJ1,Tamarack,0,0,35000,0.65,0,209
CJ1,Tamarack,0,0,35000,0.64,0,214
CJ1,Tamarack,0,0,35000,0.63,0,220
CJ1,Tamarack,0,0,35000,0.62,0,225
CJ1,Tamarack,0,10,41000,0.66,0,244
CJ1,Tamarack,0,10,41000,0.65,0,248
CJ1,Tamarack,0,10,41000,0.64,0,254
CJ1,Tamarack,0,10,41000,0.63,0,259
CJ1,Tamarack,0,10,41000,0.62,0,265
CJ1,Tamarack,0,10,39000,0.66,0,244
CJ1,Tamarack,0,10,39000,0.65,0,248
CJ1,Tamarack,0,10,39000,0.64,0,254
CJ1,Tamarack,0,10,39000,0.63,0,259
CJ1,Tamarack,0,10,39000,0.62,0,265
CJ1,Tamarack,0,10,37000,0.66,0,226
CJ1,Tamarack,0,10,37000,0.65,0,232
CJ1,Tamarack,0,10,37000,0.64,0,237
CJ1,Tamarack,0,10,37000,0.63,0,242
CJ1,Tamarack,0,10,37000,0.62,0,248
CJ1,Tamarack,0,10,35000,0.66,0,214
CJ1,Tamarack,0,10,35000,0.65,0,219
CJ1,Tamarack,0,10,35000,0.64,0,225
CJ1,Tamarack,0,10,35000,0.63,0,230
CJ1,Tamarack,0,10,35000,0.62,0,236
CJ1,Tamarack,0,20,41000,0.66,0,255
CJ1,Tamarack,0,20,41000,0.65,0,258
CJ1,Tamarack,0,20,41000,0.64,0,262
CJ1,Tamarack,0,20,41000,0.63,0,268
CJ1,Tamarack,0,20,41000,0.62,0,274
CJ1,Tamarack,0,20,39000,0.66,0,255
CJ1,Tamarack,0,20,39000,0.65,0,258
CJ1,Tamarack,0,20,39000,0.64,0,262
CJ1,Tamarack,0,20,39000,0.63,0,268
CJ1,Tamarack,0,20,39000,0.62,0,274
CJ1,Tamarack,0,20,37000,0.66,0,235
CJ1,Tamarack,0,20,37000,0.65,0,240
CJ1,Tamarack,0,20,37000,0.64,0,245
CJ1,Tamarack,0,20,37000,0.63,0,251
CJ1,Tamarack,0,20,37000,0.62,0,257
CJ1,Tamarack,0,20,35000,0.66,0,224
CJ1,Tamarack,0,20,35000,0.65,0,229
CJ1,Tamarack,0,20,35000,0.64,0,235
CJ1,Tamarack,0,20,35000,0.63,0,240
CJ1,Tamarack,0,20,35000,0.62,0,246
