aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,cruise_mode,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,0,41000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,201,37001,True,0.66,False,
CJ1,Flatwing,0,0,41000,0.66,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,200,37000,True,0.66,False,
CJ1,Flatwing,0,0,41000,0.66,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6586950531873901,True,
CJ1,Flatwing,0,0,41000,0.66,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6553152088457818,True,
CJ1,Flatwing,0,0,41000,0.66,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6517050881811062,True,
CJ1,Flatwing,0,0,41000,0.66,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6478445359498225,True,
CJ1,Flatwing,0,0,41000,0.65,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,200,37001,True,0.65,False,
CJ1,Flatwing,0,0,41000,0.65,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,200,37000,True,0.65,False,
CJ1,Flatwing,0,0,41000,0.65,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,199,37005,True,0.65,False,
CJ1,Flatwing,0,0,41000,0.65,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,199,37005,True,0.65,False,
CJ1,Flatwing,0,0,41000,0.65,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,198,37005,True,0.65,False,
CJ1,Flatwing,0,0,41000,0.65,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6478445359498225,True,
CJ1,Flatwing,0,0,41000,0.64,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37001,True,0.64,False,
CJ1,Flatwing,0,0,41000,0.64,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37000,True,0.64,False,
CJ1,Flatwing,0,0,41000,0.64,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37005,True,0.64,False,
CJ1,Flatwing,0,0,41000,0.64,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37005,True,0.64,False,
CJ1,Flatwing,0,0,41000,0.64,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37005,True,0.64,False,
CJ1,Flatwing,0,0,41000,0.64,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37005,True,0.64,False,
CJ1,Flatwing,0,0,41000,0.63,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37001,True,0.63,False,
CJ1,Flatwing,0,0,41000,0.63,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37000,True,0.63,False,
CJ1,Flatwing,0,0,41000,0.63,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37005,True,0.63,False,
CJ1,Flatwing,0,0,41000,0.63,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37005,True,0.63,False,
CJ1,Flatwing,0,0,41000,0.63,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37005,True,0.63,False,
CJ1,Flatwing,0,0,41000,0.63,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37005,True,0.63,False,
CJ1,Flatwing,0,0,41000,0.62,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37001,True,0.62,False,
CJ1,Flatwing,0,0,41000,0.62,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37000,True,0.62,False,
CJ1,Flatwing,0,0,41000,0.62,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37005,True,0.62,False,
CJ1,Flatwing,0,0,41000,0.62,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37005,True,0.62,False,
CJ1,Flatwing,0,0,41000,0.62,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37005,True,0.62,False,
CJ1,Flatwing,0,0,41000,0.62,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37005,True,0.62,False,
CJ1,Flatwing,0,20,41000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,198,35002,True,0.66,False,
CJ1,Flatwing,0,20,41000,0.66,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,197,35001,True,0.66,False,
CJ1,Flatwing,0,20,41000,0.66,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,35003,True,0.6569009714670039,True,
CJ1,Flatwing,0,20,41000,0.66,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,35003,True,0.653271778674639,True,
CJ1,Flatwing,0,20,41000,0.66,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,35003,True,0.6493853208931897,True,
CJ1,Flatwing,0,20,41000,0.66,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,35003,True,0.6452172298671304,True,
CJ1,Flatwing,0,20,41000,0.65,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,197,35002,True,0.65,False,
CJ1,Flatwing,0,20,41000,0.65,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,197,35001,True,0.65,False,
CJ1,Flatwing,0,20,41000,0.65,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,35003,True,0.65,False,
CJ1,Flatwing,0,20,41000,0.65,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,195,35003,True,0.65,False,
CJ1,Flatwing,0,20,41000,0.65,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,194,35003,True,0.6493853208931897,False,
CJ1,Flatwing,0,20,41000,0.65,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,35003,True,0.6452172298671304,True,
CJ1,Flatwing,0,20,41000,0.64,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,194,35002,True,0.64,False,
CJ1,Flatwing,0,20,41000,0.64,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,194,35001,True,0.64,False,
CJ1,Flatwing,0,20,41000,0.64,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,194,35003,True,0.64,False,
CJ1,Flatwing,0,20,41000,0.64,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,194,35003,True,0.64,False,
CJ1,Flatwing,0,20,41000,0.64,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,194,35003,True,0.64,False,
CJ1,Flatwing,0,20,41000,0.64,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,194,35003,True,0.64,False,
CJ1,Flatwing,0,20,41000,0.63,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,35002,True,0.63,False,
CJ1,Flatwing,0,20,41000,0.63,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,35001,True,0.63,False,
CJ1,Flatwing,0,20,41000,0.63,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,35003,True,0.63,False,
CJ1,Flatwing,0,20,41000,0.63,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,35003,True,0.63,False,
CJ1,Flatwing,0,20,41000,0.63,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,35003,True,0.63,False,
CJ1,Flatwing,0,20,41000,0.63,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,35003,True,0.63,False,
CJ1,Flatwing,0,20,41000,0.62,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,187,35002,True,0.62,False,
CJ1,Flatwing,0,20,41000,0.62,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,187,35001,True,0.62,False,
CJ1,Flatwing,0,20,41000,0.62,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,187,35003,True,0.62,False,
CJ1,Flatwing,0,20,41000,0.62,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,187,35003,True,0.62,False,
CJ1,Flatwing,0,20,41000,0.62,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,187,35003,True,0.62,False,
CJ1,Flatwing,0,20,41000,0.62,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,187,35003,True,0.62,False,
CJ1,Flatwing,0,0,39000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,201,37001,True,0.66,False,
CJ1,Flatwing,0,0,39000,0.66,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,200,37000,True,0.66,False,
CJ1,Flatwing,0,0,39000,0.66,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6586950531873901,True,
CJ1,Flatwing,0,0,39000,0.66,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6553152088457818,True,
CJ1,Flatwing,0,0,39000,0.66,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6517050881811062,True,
CJ1,Flatwing,0,0,39000,0.66,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6478445359498225,True,
CJ1,Flatwing,0,0,39000,0.65,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,200,37001,True,0.65,False,
CJ1,Flatwing,0,0,39000,0.65,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,200,37000,True,0.65,False,
CJ1,Flatwing,0,0,39000,0.65,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,199,37005,True,0.65,False,
CJ1,Flatwing,0,0,39000,0.65,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,199,37005,True,0.65,False,
CJ1,Flatwing,0,0,39000,0.65,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,198,37005,True,0.65,False,
CJ1,Flatwing,0,0,39000,0.65,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,n/p,37005,True,0.6478445359498225,True,
CJ1,Flatwing,0,0,39000,0.64,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37001,True,0.64,False,
CJ1,Flatwing,0,0,39000,0.64,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37000,True,0.64,False,
CJ1,Flatwing,0,0,39000,0.64,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37005,True,0.64,False,
CJ1,Flatwing,0,0,39000,0.64,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37005,True,0.64,False,
CJ1,Flatwing,0,0,39000,0.64,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37005,True,0.64,False,
CJ1,Flatwing,0,0,39000,0.64,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,196,37005,True,0.64,False,
CJ1,Flatwing,0,0,39000,0.63,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37001,True,0.63,False,
CJ1,Flatwing,0,0,39000,0.63,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37000,True,0.63,False,
CJ1,Flatwing,0,0,39000,0.63,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37005,True,0.63,False,
CJ1,Flatwing,0,0,39000,0.63,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37005,True,0.63,False,
CJ1,Flatwing,0,0,39000,0.63,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37005,True,0.63,False,
CJ1,Flatwing,0,0,39000,0.63,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,193,37005,True,0.63,False,
CJ1,Flatwing,0,0,39000,0.62,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37001,True,0.62,False,
CJ1,Flatwing,0,0,39000,0.62,300,100,600,False,MCT (Max Thrust),3440,10540,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37000,True,0.62,False,
CJ1,Flatwing,0,0,39000,0.62,600,100,600,False,MCT (Max Thrust),3200,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37005,True,0.62,False,
CJ1,Flatwing,0,0,39000,0.62,900,100,600,False,MCT (Max Thrust),2900,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37005,True,0.62,False,
CJ1,Flatwing,0,0,39000,0.62,1200,100,600,False,MCT (Max Thrust),2600,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37005,True,0.62,False,
CJ1,Flatwing,0,0,39000,0.62,1500,100,600,False,MCT (Max Thrust),2300,10600,altitude_limited,,n/p,n/p,n/p,n/p,n/p,190,37005,True,0.62,False,
CJ1,Flatwing,0,20,39000,0.66,0,100,600,False,MCT (Max Thrust),3440,10240,altitude_limited,,n/p,n/p,n/p,n/p,n/p,198,35002,True,0.66,False,
