aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm
CJ1,Flatwing,0,-10,35000,0.65,0,741.261568132608
CJ1,Flatwing,0,-10,35000,0.64,0,747.2491764991547
CJ1,Flatwing,0,-10,35000,0.63,0,752.2115822155115
CJ1,Flatwing,0,-10,35000,0.62,0,758.1974590039572
CJ1,Flatwing,0,-10,33000,0.65,0,729.9808193155084
CJ1,Flatwing,0,-10,33000,0.64,0,736.9607256319397
CJ1,Flatwing,0,-10,33000,0.63,0,743.3925362392641
CJ1,Flatwing,0,-10,33000,0.62,0,749.2987689457899
CJ1,Flatwing,0,0,35000,0.65,0,766.4120436088288
CJ1,Flatwing,0,0,35000,0.64,0,772.6254231828522
CJ1,Flatwing,0,0,35000,0.63,0,777.7938149827556
CJ1,Flatwing,0,0,35000,0.62,0,782.4695654516415
CJ1,Flatwing,0,0,33000,0.65,0,757.3079772489402
CJ1,Flatwing,0,0,33000,0.64,0,763.409205597284
CJ1,Flatwing,0,0,33000,0.63,0,768.9764322972583
CJ1,Flatwing,0,0,33000,0.62,0,775.5422266112562
CJ1,Flatwing,0,10,35000,0.65,0,791.865080065614
CJ1,Flatwing,0,10,35000,0.64,0,796.8100848991685
CJ1,Flatwing,0,10,35000,0.63,0,802.7340674270466
CJ1,Flatwing,0,10,35000,0.62,0,807.1372992059745
CJ1,Flatwing,0,10,33000,0.65,0,783.3743265708816
CJ1,Flatwing,0,10,33000,0.64,0,789.6683181399
CJ1,Flatwing,0,10,33000,0.63,0,795.9155243053449
CJ1,Flatwing,0,10,33000,0.62,0,802.1217430415322
CJ1,Flatwing,0,20,35000,0.65,0,820.7837890703845
CJ1,Flatwing,0,20,35000,0.64,0,826.0769660030038
CJ1,Flatwing,0,20,35000,0.63,0,830.2791682341324
CJ1,Flatwing,0,20,35000,0.62,0,834.4720880491687
CJ1,Flatwing,0,20,33000,0.65,0,811.3993221027442
CJ1,Flatwing,0,20,33000,0.64,0,816.3412891865319
CJ1,Flatwing,0,20,33000,0.63,0,822.2639906134165
CJ1,Flatwing,0,20,33000,0.62,0,828.1390063316586
CJ1,Tamarack,0,-10,35000,0.65,0,750.2723595140395
CJ1,Tamarack,0,-10,35000,0.64,0,757.7771836596538
CJ1,Tamarack,0,-10,35000,0.63,0,764.7255076049179
CJ1,Tamarack,0,-10,35000,0.62,0,771.1319538382372
CJ1,Tamarack,0,-10,33000,0.65,0,735.9664289043535
CJ1,Tamarack,0,-10,33000,0.64,0,743.553396381852
CJ1,Tamarack,0,-10,33000,0.63,0,751.0862423751284
CJ1,Tamarack,0,-10,33000,0.62,0,758.0591508082282
CJ1,Tamarack,0,0,35000,0.65,0,780.0118655469025
CJ1,Tamarack,0,0,35000,0.64,0,787.1033255567486
CJ1,Tamarack,0,0,35000,0.63,0,794.1409818834879
CJ1,Tamarack,0,0,35000,0.62,0,801.1182973823288
CJ1,Tamarack,0,0,33000,0.65,0,765.1841623558695
CJ1,Tamarack,0,0,33000,0.64,0,772.8546881272989
CJ1,Tamarack,0,0,33000,0.63,0,779.9526757585661
CJ1,Tamarack,0,0,33000,0.62,0,787.9908847890023
CJ1,Tamarack,0,10,35000,0.65,0,809.2435877739157
CJ1,Tamarack,0,10,35000,0.64,0,816.4642521776876
CJ1,Tamarack,0,10,35000,0.63,0,823.1077170105998
CJ1,Tamarack,0,10,35000,0.62,0,829.6869958543687
CJ1,Tamarack,0,10,33000,0.65,0,795.593388572885
CJ1,Tamarack,0,10,33000,0.64,0,803.3394848786917
CJ1,Tamarack,0,10,33000,0.63,0,811.0030606470021
CJ1,Tamarack,0,10,33000,0.62,0,818.0768615372607
CJ1,Tamarack,0,20,35000,0.65,0,842.9942861954186
CJ1,Tamarack,0,20,35000,0.64,0,849.355575146067
CJ1,Tamarack,0,20,35000,0.63,0,856.6520310653068
CJ1,Tamarack,0,20,35000,0.62,0,863.3521828405177
CJ1,Tamarack,0,20,33000,0.65,0,827.1102066738604
CJ1,Tamarack,0,20,33000,0.64,0,834.4110793376137
CJ1,Tamarack,0,20,33000,0.63,0,841.626381797452
CJ1,Tamarack,0,20,33000,0.62,0,849.7390619378218
