aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited
CJ1,Tamarack,0,10,35000,0.65,420,100,600,False,3051,ok,,609.7757807323089,111,1462,35006,429,35006,False,0.6485456854326661,True
CJ1,Flatwing,0,10,35000,0.65,493,100,600,False,3057,ok,,596.8781483638908,108,1468,35004,429,35004,False,0.6485456854326661,True
CJ1,Tamarack,0,10,35000,0.65,631,100,600,False,2840,ok,,502.0630303188037,94,1247,35006,429,35006,False,0.6485456854326661,True
CJ1,Flatwing,0,10,35000,0.65,657,100,600,False,2893,ok,,516.0802869602855,95,1302,35004,429,35004,False,0.6485456854326661,True
CJ1,Flatwing,0,10,35000,0.65,821,100,600,False,2729,ok,,435.2834251483409,82,1136,35004,429,35004,False,0.6485456854326661,True
CJ1,Tamarack,0,10,35000,0.65,841,100,600,False,2630,ok,,396.4189515864086,77,1035,35006,429,35006,False,0.6485456854326661,True
CJ1,Flatwing,0,10,35000,0.65,986,100,600,False,2564,ok,,354.4836389842446,69,969,35004,429,35004,False,0.6485456854326661,True
CJ1,Tamarack,0,10,35000,0.65,1051,100,600,False,2420,ok,,290.77610398538104,60,823,35006,429,35006,False,0.6485456854326661,True
CJ1,Flatwing,0,10,35000,0.65,1150,100,600,False,2400,ok,,274.720647078346,56,804,35004,429,35004,False,0.6485456854326661,True
CJ1,Tamarack,0,10,35000,0.65,1261,100,600,False,2210,ok,,203.47923398276586,46,638,35006,337,35006,False,0.5094636270182016,True
CJ1,Tamarack,0,10,35000,0.65,1471,100,600,False,2000,ok,,203.47923398276586,46,638,35006,337,35006,False,0.5094636270182016,True
CJ1,Flatwing,0,20,35000,0.65,0,100,600,False,3440,ok,,820.7837890703845,144,1856,35007,429,35007,False,0.6485456854326661,True
CJ1,Tamarack,0,20,35000,0.65,0,100,600,False,3440,ok,,842.9942861954186,148,1857,35003,429,35003,False,0.6485456854326661,True
CJ1,Flatwing,0,20,35000,0.65,164,100,600,False,3386,ok,,788.1271010423158,139,1800,35004,429,35004,False,0.6485456854326661,True
CJ1,Tamarack,0,20,35000,0.65,210,100,600,False,3261,ok,,745.6138838826718,133,1674,35004,429,35004,False,0.6485456854326661,True
CJ1,Flatwing,0,20,35000,0.65,329,100,600,False,3221,ok,,702.1444023985919,125,1633,35004,429,35004,False,0.6485456854326661,True
CJ1,Tamarack,0,20,35000,0.65,420,100,600,False,3051,ok,,633.7509737670217,115,1461,35004,429,35004,False,0.6485456854326661,True
CJ1,Flatwing,0,20,35000,0.65,493,100,600,False,3057,ok,,617.1983076615995,112,1467,35004,429,35004,False,0.6485456854326661,True
CJ1,Tamarack,0,20,35000,0.65,631,100,600,False,2840,ok,,521.8888590339222,97,1248,35004,429,35004,False,0.6485456854326661,True
CJ1,Flatwing,0,20,35000,0.65,657,100,600,False,2893,ok,,532.2491919314934,98,1300,35004,429,35004,False,0.6485456854326661,True
CJ1,Flatwing,0,20,35000,0.65,821,100,600,False,2729,ok,,448.3366482480855,85,1134,35004,429,35004,False,0.6485456854326661,True
CJ1,Tamarack,0,20,35000,0.65,841,100,600,False,2630,ok,,410.0238149430767,79,1033,35004,429,35004,False,0.6485456854326661,True
