# Flight Simulation Results - CJ1 Flatwing
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 167 lb
# Cruise Altitude: 33000 ft
# Winds/Temps Source: No Wind
# Generated: 2025-11-25 21:01:46
# Original Data Points: 1199
# Sampled Data Points (5-sec intervals): 1199
# Time Range: 0 - 10447 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),Segment,Segment Title
0,2131,0.0,1,1,0,3863,156,10407,3340,0,0.001,0.0,0,Takeoff Roll
5,2131,0.0,33,34,0,3727,181,10403,3336,2676,0.05,0.0,0,Takeoff Roll
10,2131,0.1,65,66,0,3595,254,10400,3333,2634,0.098,0.0,0,Takeoff Roll
15,2143,0.2,95,97,1428,3480,902,10396,3329,2744,0.143,25.6,1,VR to 35 ft
20,2266,0.3,97,99,1471,3453,860,10392,3325,2490,0.146,25.8,1,VR to 35 ft
25,2388,0.5,97,99,1470,3443,859,10389,3322,2482,0.147,25.7,1,VR to 35 ft
30,2510,0.6,98,99,1468,3434,859,10385,3318,2475,0.147,25.6,1,VR to 35 ft
35,2633,0.8,98,99,1466,3424,858,10382,3315,2468,0.148,25.5,1,VR to 35 ft
40,2755,0.9,98,99,1465,3415,858,10379,3312,2462,0.148,25.4,1,VR to 35 ft
45,2877,1.0,98,99,1463,3405,858,10375,3308,2455,0.148,25.3,1,VR to 35 ft
50,2999,1.2,99,99,1461,3396,857,10372,3305,2448,0.149,25.2,1,VR to 35 ft
55,3120,1.3,99,99,1460,3386,857,10368,3301,2441,0.149,25.2,1,VR to 35 ft
60,3242,1.4,99,99,1458,3377,856,10365,3298,2434,0.15,25.1,1,VR to 35 ft
65,3363,1.6,99,99,1456,3367,856,10362,3295,2427,0.15,25.0,1,VR to 35 ft
70,3493,1.7,108,108,1602,3324,797,10358,3291,2408,0.164,25.1,3,400 ft to 1500 ft
75,3626,1.9,109,108,1600,3314,797,10355,3288,2389,0.164,25.1,3,400 ft to 1500 ft
80,3771,2.0,127,126,1858,3252,756,10352,3285,2366,0.193,24.8,4,Climb (IAS)
85,3938,2.2,150,148,2090,3158,771,10348,3281,2301,0.227,23.7,4,Climb (IAS)
90,4119,2.5,171,169,2221,3071,846,10345,3278,2236,0.259,22.0,4,Climb (IAS)
95,4307,2.7,190,187,2268,2993,952,10342,3275,2177,0.289,20.1,4,Climb (IAS)
100,4495,3.0,204,200,2213,2925,1065,10339,3272,2124,0.31,18.3,4,Climb (IAS)
105,4679,3.3,205,200,2206,2912,1065,10336,3269,2101,0.311,18.2,4,Climb (IAS)
110,4862,3.6,205,200,2198,2900,1065,10334,3267,2091,0.312,18.0,4,Climb (IAS)
115,5045,3.8,206,200,2191,2887,1064,10331,3264,2082,0.313,17.9,4,Climb (IAS)
120,5227,4.1,207,200,2183,2874,1064,10328,3261,2073,0.315,17.8,4,Climb (IAS)
125,5409,4.4,207,200,2176,2862,1064,10325,3258,2064,0.316,17.7,4,Climb (IAS)
130,5590,4.7,208,200,2168,2849,1064,10322,3255,2055,0.317,17.6,4,Climb (IAS)
135,5770,5.0,209,200,2161,2836,1063,10319,3252,2046,0.319,17.4,4,Climb (IAS)
140,5950,5.3,209,200,2153,2824,1063,10316,3249,2037,0.32,17.3,4,Climb (IAS)
