aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts
CJ1,Tamarack,0,-10,41000,0.7,294,,,,,
CJ1,Tamarack,0,0,41000,0.7,294,,,,,
CJ1,Tamarack,0,-10,41000,0.7,589,,,,,
CJ1,Tamarack,0,0,41000,0.7,589,,,,,
CJ1,Tamarack,0,-10,41000,0.7,883,,,,,
CJ1,Tamarack,0,0,41000,0.7,883,,,,,
CJ1,Tamarack,0,-10,41000,0.7,1177,,,,,
CJ1,Tamarack,0,0,41000,0.7,1177,,,,,
CJ1,Tamarack,0,-10,41000,0.7,1471,,,,,
CJ1,Tamarack,0,0,41000,0.7,1471,,,,,
CJ1,Tamarack,0,-10,41000,0.69,0,,,,,
CJ1,Tamarack,0,0,41000,0.69,0,,,,,
CJ1,Tamarack,0,-10,41000,0.69,294,,,,,
CJ1,Tamarack,0,0,41000,0.69,294,,,,,
CJ1,Tamarack,0,-10,41000,0.69,589,,,,,
CJ1,Tamarack,0,0,41000,0.69,589,,,,,
CJ1,Tamarack,0,-10,41000,0.69,883,,,,,
CJ1,Tamarack,0,0,41000,0.69,883,,,,,
CJ1,Tamarack,0,-10,41000,0.69,1177,,,,,
CJ1,Tamarack,0,0,41000,0.69,1177,,,,,
CJ1,Tamarack,0,-10,41000,0.69,1471,,,,,
CJ1,Tamarack,0,0,41000,0.69,1471,,,,,
CJ1,Tamarack,0,-10,41000,0.68,0,,,,,
CJ1,Tamarack,0,0,41000,0.68,0,,,,,
CJ1,Tamarack,0,-10,41000,0.68,294,,,,,
CJ1,Tamarack,0,0,41000,0.68,294,,,,,
CJ1,Tamarack,0,-10,41000,0.68,589,,,,,
CJ1,Tamarack,0,0,41000,0.68,589,,,,,
CJ1,Tamarack,0,-10,41000,0.68,883,,,,,
CJ1,Tamarack,0,0,41000,0.68,883,,,,,
CJ1,Tamarack,0,-10,41000,0.68,1177,,,,,
CJ1,Tamarack,0,0,41000,0.68,1177,,,,,
CJ1,Tamarack,0,-10,41000,0.68,1471,,,,,
CJ1,Tamarack,0,0,41000,0.68,1471,,,,,
CJ1,Tamarack,0,-10,39000,0.7,0,,,,,
CJ1,Tamarack,0,0,39000,0.7,0,,,,,
CJ1,Tamarack,0,-10,39000,0.7,294,,,,,
CJ1,Tamarack,0,0,39000,0.7,294,,,,,
CJ1,Tamarack,0,-10,39000,0.7,589,,,,,
CJ1,Tamarack,0,0,39000,0.7,589,,,,,
CJ1,Tamarack,0,-10,39000,0.7,883,,,,,
CJ1,Tamarack,0,0,39000,0.7,883,,,,,
CJ1,Tamarack,0,-10,39000,0.7,1177,,,,,
CJ1,Tamarack,0,0,39000,0.7,1177,,,,,
CJ1,Tamarack,0,-10,39000,0.7,1471,,,,,
CJ1,Tamarack,0,0,39000,0.7,1471,,,,,
CJ1,Tamarack,0,-10,39000,0.69,0,,,,,
CJ1,Tamarack,0,0,39000,0.69,0,,,,,
CJ1,Tamarack,0,-10,39000,0.69,294,,,,,
CJ1,Tamarack,0,0,39000,0.69,294,,,,,
CJ1,Tamarack,0,-10,39000,0.69,589,,,,,
CJ1,Tamarack,0,0,39000,0.69,589,,,,,
CJ1,Tamarack,0,-10,39000,0.69,883,,,,,
CJ1,Tamarack,0,0,39000,0.69,883,,,,,
CJ1,Tamarack,0,-10,39000,0.69,1177,,,,,
CJ1,Tamarack,0,0,39000,0.69,1177,,,,,
CJ1,Tamarack,0,-10,39000,0.69,1471,,,,,
CJ1,Tamarack,0,0,39000,0.69,1471,,,,,
CJ1,Tamarack,0,-10,39000,0.68,0,,,,,
CJ1,Tamarack,0,0,39000,0.68,0,,,,,
CJ1,Tamarack,0,-10,39000,0.68,294,,,,,
CJ1,Tamarack,0,0,39000,0.68,294,,,,,
CJ1,Tamarack,0,-10,39000,0.68,589,,,,,
CJ1,Tamarack,0,0,39000,0.68,589,,,,,
CJ1,Tamarack,0,-10,39000,0.68,883,,,,,
CJ1,Tamarack,0,0,39000,0.68,883,,,,,
CJ1,Tamarack,0,-10,39000,0.68,1177,,,,,
CJ1,Tamarack,0,0,39000,0.68,1177,,,,,
CJ1,Tamarack,0,-10,39000,0.68,1471,,,,,
CJ1,Tamarack,0,0,39000,0.68,1471,,,,,
CJ1,Tamarack,0,-10,37000,0.7,0,,,,,
CJ1,Tamarack,0,0,37000,0.7,0,,,,,
CJ1,Tamarack,0,-10,37000,0.7,294,,,,,
CJ1,Tamarack,0,0,37000,0.7,294,,,,,
CJ1,Tamarack,0,-10,37000,0.7,589,,,,,
CJ1,Tamarack,0,0,37000,0.7,589,,,,,
CJ1,Tamarack,0,-10,37000,0.7,883,,,,,
CJ1,Tamarack,0,0,37000,0.7,883,,,,,
CJ1,Tamarack,0,-10,37000,0.7,1177,,,,,
CJ1,Tamarack,0,0,37000,0.7,1177,,,,,
CJ1,Tamarack,0,-10,37000,0.7,1471,,,,,
CJ1,Tamarack,0,0,37000,0.7,1471,,,,,
CJ1,Tamarack,0,-10,37000,0.69,0,,,,,
CJ1,Tamarack,0,0,37000,0.69,0,,,,,
CJ1,Tamarack,0,-10,37000,0.69,294,,,,,
CJ1,Tamarack,0,0,37000,0.69,294,,,,,
CJ1,Tamarack,0,-10,37000,0.69,589,,,,,
CJ1,Tamarack,0,0,37000,0.69,589,,,,,
CJ1,Tamarack,0,-10,37000,0.69,883,,,,,
CJ1,Tamarack,0,0,37000,0.69,883,,,,,
CJ1,Tamarack,0,-10,37000,0.69,1177,,,,,
CJ1,Tamarack,0,0,37000,0.69,1177,,,,,
CJ1,Tamarack,0,-10,37000,0.69,1471,,,,,
CJ1,Tamarack,0,0,37000,0.69,1471,,,,,
CJ1,Tamarack,0,-10,37000,0.68,0,,,,,
CJ1,Tamarack,0,0,37000,0.68,0,,,,,
CJ1,Tamarack,0,-10,37000,0.68,294,,,,,
CJ1,Tamarack,0,0,37000,0.68,294,,,,,
CJ1,Tamarack,0,-10,37000,0.68,589,,,,,
CJ1,Tamarack,0,0,37000,0.68,589,,,,,
CJ1,Tamarack,0,-10,37000,0.68,883,,,,,
CJ1,Tamarack,0,0,37000,0.68,883,,,,,
CJ1,Tamarack,0,-10,37000,0.68,1177,,,,,
CJ1,Tamarack,0,0,37000,0.68,1177,,,,,
CJ1,Tamarack,0,-10,37000,0.68,1471,,,,,
CJ1,Tamarack,0,0,37000,0.68,1471,,,,,
CJ1,Tamarack,0,-10,35000,0.7,0,,,,,
CJ1,Tamarack,0,0,35000,0.7,0,,,,,
CJ1,Tamarack,0,-10,35000,0.7,294,,,,,
CJ1,Tamarack,0,0,35000,0.7,294,,,,,
CJ1,Tamarack,0,-10,35000,0.7,589,,,,,
CJ1,Tamarack,0,0,35000,0.7,589,,,,,
CJ1,Tamarack,0,-10,35000,0.7,883,,,,,
CJ1,Tamarack,0,0,35000,0.7,883,,,,,
CJ1,Tamarack,0,-10,35000,0.7,1177,,,,,
CJ1,Tamarack,0,0,35000,0.7,1177,,,,,
CJ1,Tamarack,0,-10,35000,0.7,1471,,,,,
CJ1,Tamarack,0,0,35000,0.7,1471,,,,,
CJ1,Tamarack,0,-10,35000,0.69,0,,,,,
CJ1,Tamarack,0,0,35000,0.69,0,,,,,
CJ1,Tamarack,0,-10,35000,0.69,294,,,,,
CJ1,Tamarack,0,0,35000,0.69,294,,,,,
CJ1,Tamarack,0,-10,35000,0.69,589,,,,,
CJ1,Tamarack,0,0,35000,0.69,589,,,,,
CJ1,Tamarack,0,-10,35000,0.69,883,,,,,
CJ1,Tamarack,0,0,35000,0.69,883,,,,,
CJ1,Tamarack,0,-10,35000,0.69,1177,,,,,
CJ1,Tamarack,0,0,35000,0.69,1177,,,,,
CJ1,Tamarack,0,-10,35000,0.69,1471,,,,,
CJ1,Tamarack,0,0,35000,0.69,1471,,,,,
CJ1,Tamarack,0,-10,35000,0.68,0,,,,,
CJ1,Tamarack,0,0,35000,0.68,0,,,,,
CJ1,Tamarack,0,-10,35000,0.68,294,,,,,
CJ1,Tamarack,0,0,35000,0.68,294,,,,,
CJ1,Tamarack,0,-10,35000,0.68,589,,,,,
CJ1,Tamarack,0,0,35000,0.68,589,,,,,
CJ1,Tamarack,0,-10,35000,0.68,883,,,,,
CJ1,Tamarack,0,0,35000,0.68,883,,,,,
CJ1,Tamarack,0,-10,35000,0.68,1177,,,,,
CJ1,Tamarack,0,0,35000,0.68,1177,,,,,
CJ1,Tamarack,0,-10,35000,0.68,1471,,,,,
CJ1,Tamarack,0,0,35000,0.68,1471,,,,,
