aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,total_time_min
CJ1,Flatwing,0,-10,41000,0.65,0,165.0
CJ1,Flatwing,0,-10,41000,0.64,0,166.0
CJ1,Flatwing,0,-10,41000,0.63,0,167.0
CJ1,Flatwing,0,-10,41000,0.62,0,169.0
CJ1,Flatwing,0,-10,39000,0.65,0,167.0
CJ1,Flatwing,0,-10,39000,0.64,0,167.0
CJ1,Flatwing,0,-10,39000,0.63,0,169.0
CJ1,Flatwing,0,-10,39000,0.62,0,170.0
CJ1,Flatwing,0,-10,37000,0.65,0,164.0
CJ1,Flatwing,0,-10,37000,0.64,0,166.0
CJ1,Flatwing,0,-10,37000,0.63,0,168.0
CJ1,Flatwing,0,-10,37000,0.62,0,169.0
CJ1,Flatwing,0,0,41000,0.65,0,163.0
CJ1,Flatwing,0,0,41000,0.64,0,164.0
CJ1,Flatwing,0,0,41000,0.63,0,166.0
CJ1,Flatwing,0,0,41000,0.62,0,167.0
CJ1,Flatwing,0,0,39000,0.65,0,164.0
CJ1,Flatwing,0,0,39000,0.64,0,165.0
CJ1,Flatwing,0,0,39000,0.63,0,167.0
CJ1,Flatwing,0,0,39000,0.62,0,168.0
CJ1,Flatwing,0,0,37000,0.65,0,165.0
CJ1,Flatwing,0,0,37000,0.64,0,166.0
CJ1,Flatwing,0,0,37000,0.63,0,168.0
CJ1,Flatwing,0,0,37000,0.62,0,169.0
CJ1,Tamarack,0,-10,41000,0.65,0,167.0
CJ1,Tamarack,0,-10,41000,0.64,0,168.0
CJ1,Tamarack,0,-10,41000,0.63,0,170.0
CJ1,Tamarack,0,-10,41000,0.62,0,171.0
CJ1,Tamarack,0,-10,39000,0.65,0,165.0
CJ1,Tamarack,0,-10,39000,0.64,0,167.0
CJ1,Tamarack,0,-10,39000,0.63,0,169.0
CJ1,Tamarack,0,-10,39000,0.62,0,171.0
CJ1,Tamarack,0,-10,37000,0.65,0,164.0
CJ1,Tamarack,0,-10,37000,0.64,0,166.0
CJ1,Tamarack,0,-10,37000,0.63,0,168.0
CJ1,Tamarack,0,-10,37000,0.62,0,170.0
CJ1,Tamarack,0,0,41000,0.65,0,168.0
CJ1,Tamarack,0,0,41000,0.64,0,168.0
CJ1,Tamarack,0,0,41000,0.63,0,170.0
CJ1,Tamarack,0,0,41000,0.62,0,172.0
CJ1,Tamarack,0,0,39000,0.65,0,165.0
CJ1,Tamarack,0,0,39000,0.64,0,167.0
CJ1,Tamarack,0,0,39000,0.63,0,169.0
CJ1,Tamarack,0,0,39000,0.62,0,171.0
CJ1,Tamarack,0,0,37000,0.65,0,164.0
CJ1,Tamarack,0,0,37000,0.64,0,166.0
CJ1,Tamarack,0,0,37000,0.63,0,168.0
CJ1,Tamarack,0,0,37000,0.62,0,170.0
