aircraft,mod,flap,isa_dev,cruise_alt,mach,payload,taxi_fuel,reserve_fuel,save_plot,cruise_mode,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
CJ1,Flatwing,0,0,37000,0.0,1500,100,600,False,Max Range,2300,10600,ok,,559.0,110,1600,37005,322.09927736170084,167.0,37005,False,0.5616101072772639,False,700
CJ1,Flatwing,0,20,37000,0.0,0,100,600,False,Max Range,3440,10240,ok,,1164.0,227,2740,35002,329.3504617601875,159.0,35002,True,0.5742532230311321,False,700
CJ1,Flatwing,0,20,37000,0.0,300,100,600,False,Max Range,3440,10540,ok,,1157.0,225,2740,35001,329.7239255637317,159.0,35001,True,0.5749043919765909,False,700
CJ1,Flatwing,0,20,37000,0.0,600,100,600,False,Max Range,3200,10600,ok,,1043.0,202,2500,35003,329.7276680364434,160.0,35003,True,0.5749109173265337,False,700
CJ1,Flatwing,0,20,37000,0.0,900,100,600,False,Max Range,2900,10600,ok,,900.0,174,2200,35003,329.7276680364434,163.0,35003,True,0.5749109173265337,False,700
CJ1,Flatwing,0,20,37000,0.0,1200,100,600,False,Max Range,2600,10600,ok,,754.0,146,1900,35003,329.7276680364434,164.0,35003,True,0.5749109173265337,False,700
CJ1,Flatwing,0,20,37000,0.0,1500,100,600,False,Max Range,2300,10600,ok,,607.0,118,1600,35003,329.7276680364434,164.0,35003,True,0.5749109173265337,False,700
CJ1,Tamarack,0,0,41000,0.0,0,100,600,False,Max Range,3440,10319,ok,,1283.0,256,2740,41004,322.4489527395158,146.0,41004,False,0.5622197988855637,False,700
CJ1,Tamarack,0,0,41000,0.0,364,100,600,False,Max Range,3357,10600,ok,,1247.0,246,2657,40900,328.13292959412536,149.0,40900,False,0.5721303422348868,False,700
CJ1,Tamarack,0,0,41000,0.0,728,100,600,False,Max Range,2993,10600,ok,,1054.0,207,2293,40900,328.13292959412536,150.0,40900,False,0.5721303422348868,False,700
CJ1,Tamarack,0,0,41000,0.0,1093,100,600,False,Max Range,2628,10600,ok,,857.0,168,1928,40900,328.13292959412536,150.0,40900,False,0.5721303422348868,False,700
CJ1,Tamarack,0,0,41000,0.0,1457,100,600,False,Max Range,2264,10600,ok,,655.0,129,1564,40900,328.13292959412536,153.0,40900,False,0.5721303422348868,False,700
CJ1,Tamarack,0,0,41000,0.0,1821,100,600,False,Max Range,1900,10600,ok,,451.0,91,1200,40900,328.13292959412536,154.0,40900,False,0.5721303422348868,False,700
CJ1,Tamarack,0,20,41000,0.0,0,100,600,False,Max Range,3440,10319,ok,,1376.0,270,2740,39000,321.4643819855582,146.0,39000,True,0.5605031080215502,False,700
CJ1,Tamarack,0,20,41000,0.0,364,100,600,False,Max Range,3357,10600,ok,,1305.0,255,2657,39005,327.48556626308294,147.0,39005,True,0.571001603937887,False,700
CJ1,Tamarack,0,20,41000,0.0,728,100,600,False,Max Range,2993,10600,ok,,1079.0,211,2293,39005,327.48556626308294,151.0,39005,True,0.571001603937887,False,700
CJ1,Tamarack,0,20,41000,0.0,1093,100,600,False,Max Range,2628,10600,ok,,853.0,168,1928,39005,327.48556626308294,151.0,39005,True,0.571001603937887,False,700
CJ1,Tamarack,0,20,41000,0.0,1457,100,600,False,Max Range,2264,10600,ok,,659.0,130,1564,39005,327.48556626308294,154.0,39005,True,0.571001603937887,False,700
CJ1,Tamarack,0,20,41000,0.0,1821,100,600,False,Max Range,1900,10600,ok,,460.0,92,1200,39005,327.48556626308294,155.0,39005,True,0.571001603937887,False,700
CJ1,Tamarack,0,0,39000,0.0,0,100,600,False,Max Range,3440,10319,ok,,1092.0,229,2740,39005,306.77678341901714,145.0,39005,False,0.5348939111485698,False,700
CJ1,Tamarack,0,0,39000,0.0,364,100,600,False,Max Range,3357,10600,ok,,1066.0,220,2657,39001,313.1983069882439,149.0,39001,False,0.5460904359285591,False,700
CJ1,Tamarack,0,0,39000,0.0,728,100,600,False,Max Range,2993,10600,ok,,907.0,186,2293,39001,313.1983069882439,150.0,39001,False,0.5460904359285591,False,700
CJ1,Tamarack,0,0,39000,0.0,1093,100,600,False,Max Range,2628,10600,ok,,742.0,152,1928,39001,313.1983069882439,150.0,39001,False,0.5460904359285591,False,700
CJ1,Tamarack,0,0,39000,0.0,1457,100,600,False,Max Range,2264,10600,ok,,575.0,118,1564,39001,313.1983069882439,153.0,39001,False,0.5460904359285591,False,700
CJ1,Tamarack,0,0,39000,0.0,1821,100,600,False,Max Range,1900,10600,ok,,406.0,84,1200,39001,313.1983069882439,154.0,39001,False,0.5460904359285591,False,700
CJ1,Tamarack,0,20,39000,0.0,0,100,600,False,Max Range,3440,10319,ok,,1260.0,253,2740,39000,321.4643819855582,147.0,39000,False,0.5605031080215502,False,700
CJ1,Tamarack,0,20,39000,0.0,364,100,600,False,Max Range,3357,10600,ok,,1229.0,244,2657,39005,327.48556626308294,148.0,39005,False,0.571001603937887,False,700
CJ1,Tamarack,0,20,39000,0.0,728,100,600,False,Max Range,2993,10600,ok,,1043.0,206,2293,39005,327.48556626308294,151.0,39005,False,0.571001603937887,False,700
CJ1,Tamarack,0,20,39000,0.0,1093,100,600,False,Max Range,2628,10600,ok,,853.0,168,1928,39005,327.48556626308294,151.0,39005,False,0.571001603937887,False,700
CJ1,Tamarack,0,20,39000,0.0,1457,100,600,False,Max Range,2264,10600,ok,,659.0,130,1564,39005,327.48556626308294,154.0,39005,False,0.571001603937887,False,700
CJ1,Tamarack,0,20,39000,0.0,1821,100,600,False,Max Range,1900,10600,ok,,460.0,92,1200,39005,327.48556626308294,155.0,39005,False,0.571001603937887,False,700
CJ1,Tamarack,0,0,37000,0.0,0,100,600,False,Max Range,3440,10319,ok,,948.0,208,2740,37002,290.56471166731257,146.0,37002,False,0.5066266532079777,False,700
CJ1,Tamarack,0,0,37000,0.0,364,100,600,False,Max Range,3357,10600,ok,,929.0,201,2657,37001,297.4175560264982,147.0,37001,False,0.5185752259810698,False,700
CJ1,Tamarack,0,0,37000,0.0,728,100,600,False,Max Range,2993,10600,ok,,792.0,170,2293,37001,297.4175560264982,148.0,37001,False,0.5185752259810698,False,700
CJ1,Tamarack,0,0,37000,0.0,1093,100,600,False,Max Range,2628,10600,ok,,653.0,140,1928,37001,297.4175560264982,152.0,37001,False,0.5185752259810698,False,700
CJ1,Tamarack,0,0,37000,0.0,1457,100,600,False,Max Range,2264,10600,ok,,511.0,109,1564,37001,297.4175560264982,152.0,37001,False,0.5185752259810698,False,700
CJ1,Tamarack,0,0,37000,0.0,1821,100,600,False,Max Range,1900,10600,ok,,365.0,79,1200,37001,297.4175560264982,153.0,37001,False,0.5185752259810698,False,700
CJ1,Tamarack,0,20,37000,0.0,0,100,600,False,Max Range,3440,10319,ok,,1088.0,229,2740,37000,306.27500536691247,146.0,37000,False,0.5340190143528362,False,700
CJ1,Tamarack,0,20,37000,0.0,364,100,600,False,Max Range,3357,10600,ok,,1063.0,221,2657,37000,307.75440168854846,148.0,37000,False,0.5365984797080675,False,700
CJ1,Tamarack,0,20,37000,0.0,728,100,600,False,Max Range,2993,10600,ok,,907.0,187,2293,37000,307.75440168854846,150.0,37000,False,0.5365984797080675,False,700
CJ1,Tamarack,0,20,37000,0.0,1093,100,600,False,Max Range,2628,10600,ok,,747.0,153,1928,37000,307.75440168854846,151.0,37000,False,0.5365984797080675,False,700
CJ1,Tamarack,0,20,37000,0.0,1457,100,600,False,Max Range,2264,10600,ok,,583.0,120,1564,37000,307.75440168854846,154.0,37000,False,0.5365984797080675,False,700
CJ1,Tamarack,0,20,37000,0.0,1821,100,600,False,Max Range,1900,10600,ok,,415.0,86,1200,37000,307.75440168854846,155.0,37000,False,0.5365984797080675,False,700
